trade_date,open,high,low,close,vol,pct_chg,SMA5,SMA10,SMA20,SMA60,EMA12,EMA26,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_DN,BOLL_WIDTH,RSI6,RSI14,K,D,J,WR,BIAS5,BIAS10,VOL_MA5,VOL_MA20,VOL_RATIO,MFI,TR,ATR14
2025-07-02,87.5,87.73,85.81,86.1,225572.67,-1.8915,,,,,,,,,,,,,,,,50.0,50.0,50.0,,,,,,,,0.0,
2025-07-03,86.38,86.73,85.78,86.24,146150.27,0.1626,,,,,,,,,,,,,,,,49.99999999999999,49.99999999999999,49.999999999999986,,,,,,,,0.9500000000000028,
2025-07-04,86.0,87.2,84.86,85.8,252257.45,-0.5102,,,,,,,,,,,,,,,,49.99999999999999,49.99999999999999,49.999999999999986,,,,,,,,2.3400000000000034,
2025-07-07,85.69,86.86,85.37,85.48,135349.28,-0.373,,,,,,,,,,,,,,,,49.99999999999999,49.99999999999999,49.999999999999986,,,,,,,,1.4899999999999949,
2025-07-08,85.49,86.85,85.18,86.74,217668.48,1.474,86.072,,,,,,,,,,,,,,,49.99999999999999,49.99999999999999,49.999999999999986,,0.7760944325680734,,195399.63,,1.1139656712758361,,1.6699999999999875,
2025-07-09,86.65,86.86,85.52,85.85,183102.0,-1.0261,86.02199999999999,,,,,,,,,,,,,,,49.99999999999999,49.99999999999999,49.999999999999986,,-0.1999488502941074,,186905.49599999998,,0.9796501650224347,,1.3400000000000034,
2025-07-10,85.61,86.17,85.5,85.67,175639.46,-0.2097,85.908,,,,,,,,,,,,,43.34365325077406,,49.99999999999999,49.99999999999999,49.999999999999986,,-0.2770405550123382,,192803.33399999997,,0.9109772966892783,,0.6700000000000017,
2025-07-11,85.7,89.34,85.4,88.16,469922.38,2.9065,86.38,,,,,,,,,,,,,67.20430107526893,,49.99999999999999,49.99999999999999,49.999999999999986,,2.0606621903218354,,236336.32,,1.9883629397292806,,3.9399999999999977,
2025-07-14,88.3,88.49,87.47,87.52,189831.36,-0.726,86.78799999999998,,,,,,,,,,,,,64.87889273356407,,53.12499999999995,51.04166666666664,57.29166666666657,,0.8434345762087082,,247232.73599999998,,0.7678245327511969,,1.019999999999996,
2025-07-15,87.15,87.95,86.61,87.89,206173.16,0.4228,87.018,86.54499999999999,,,,,,,,,,,,70.66895368782164,,57.961309523809476,53.34821428571425,67.18749999999994,,1.0020915212944448,1.5541048009706087,244933.67199999996,,0.8417509863649945,,1.3400000000000034,
2025-07-16,87.73,88.2,86.77,87.12,196708.51,-0.8761,87.272,86.64699999999999,,,,,,,,,,,,53.558052434457025,,55.456349206349195,54.050925925925895,58.2671957671958,,-0.17416811806765173,0.545893106512647,247654.974,,0.7942845113217876,,1.4300000000000068,
2025-07-17,87.06,89.0,86.32,88.79,287922.16,1.9169,87.896,86.902,,,86.77999999999999,,,,,,,,,74.0196078431374,,65.89718152218154,57.99967779134444,81.69218898385574,,1.017111131337041,2.1725621964972097,270111.51399999997,,1.065938122134253,,2.680000000000007,
2025-07-18,88.75,89.13,87.93,88.51,219959.93,-0.3154,87.96600000000001,87.173,,,87.04615384615383,,,,,,,,,72.82958199356916,,70.61414665581333,62.2045007461674,87.43343847510519,,0.6184207534729291,1.5337317747467718,220119.02399999998,,0.9992772364827495,,1.1999999999999886,
2025-07-21,88.45,89.52,88.04,89.02,222719.15,0.5762,88.266,87.527,,,87.34982248520708,,,,,,,,,60.14150943396227,,76.36412366050985,66.92437505094821,95.24362087963311,-10.729613733905587,0.8542360591847264,1.7057593656814412,226696.582,,0.9824548214846927,55.780913926463086,1.4799999999999898,1.539285714285713
2025-07-22,88.7,90.55,88.5,89.08,297420.68,0.0674,88.50399999999999,87.761,,,87.61600364132907,,,,,,,,,71.31147540983612,64.87025948103799,74.72818600021043,69.52564536736895,85.13326726589338,-25.8347978910369,0.6508180421223986,1.5029454997094411,244946.08599999998,,1.2142291589831733,59.98218693975036,2.049999999999997,1.6857142857142844
2025-07-23,88.9,90.19,88.3,89.39,316549.41,0.348,88.958,88.115,,,87.88892615804768,,,,,,,,,70.83333333333337,65.45632973503442,75.64403338525355,71.56510803999714,83.80188407576637,-20.386643233743357,0.48562242856179566,1.4469727061226871,268914.26599999995,,1.17713877626708,56.802786010260704,1.8900000000000006,1.7528571428571413
2025-07-24,89.1,92.9,89.0,91.75,522324.53,2.6401,89.55,88.723,,,88.48293751834804,,,,,,,,,94.60500963391135,74.56647398843937,77.93695437436355,73.68905681811927,86.43274948685212,-14.896373056994893,2.4567280848687916,3.4117421638132175,315794.74,,1.6540000951250804,67.03819667123929,3.9000000000000057,1.8642857142857128
2025-07-25,91.74,93.68,90.99,93.47,442124.79,1.8747,90.542,89.25399999999999,,,89.25017790014064,,,,,,,,,94.65648854961829,79.57068837897856,84.34021595972058,77.23944319865303,98.54176148185567,-2.470588235294211,3.2338583198957362,4.723597821946365,360227.712,,1.2273480780956685,73.1121895775969,2.690000000000012,1.9499999999999997
2025-07-28,93.64,93.69,91.96,92.18,342640.05,-1.3801,91.174,89.72,,,89.70091976165747,,,,,,,,,79.36000000000008,70.08862629246684,82.73065505410594,79.06984715047066,90.05227086137648,-18.21471652593477,1.1033847368767413,2.741863575568444,384211.892,,0.8917996999426556,65.34589912437386,1.730000000000004,1.9542857142857153
